match_id,stage,group,date,time_local,team_a,team_b,venue,city,country,status,score_a,score_b,winner,source_updated_at_utc
1,Group Stage,A,,,Mexico,South Africa,,,,scheduled,,,,2026-06-05T08:57:28.626883+00:00
2,Group Stage,A,,,Korea Republic,Czechia,,,,scheduled,,,,2026-06-05T08:57:28.628569+00:00
3,Group Stage,B,,,Canada,Bosnia and Herzegovina,,,,scheduled,,,,2026-06-05T08:57:28.636293+00:00
4,Group Stage,D,,,United States,Paraguay,,,,scheduled,,,,2026-06-05T08:57:28.653396+00:00
5,Group Stage,C,,,Haiti,Scotland,,,,scheduled,,,,2026-06-05T08:57:28.646218+00:00
6,Group Stage,D,,,Australia,Türkiye,,,,scheduled,,,,2026-06-05T08:57:28.654795+00:00
7,Group Stage,C,,,Brazil,Morocco,,,,scheduled,,,,2026-06-05T08:57:28.644893+00:00
8,Group Stage,B,,,Qatar,Switzerland,,,,scheduled,,,,2026-06-05T08:57:28.637702+00:00
9,Group Stage,E,,,Ivory Coast,Ecuador,,,,scheduled,,,,2026-06-05T08:57:28.663516+00:00
10,Group Stage,E,,,Germany,Curaçao,,,,scheduled,,,,2026-06-05T08:57:28.662162+00:00
11,Group Stage,F,,,Netherlands,Japan,,,,scheduled,,,,2026-06-05T08:57:28.670807+00:00
12,Group Stage,F,,,Sweden,Tunisia,,,,scheduled,,,,2026-06-05T08:57:28.672156+00:00
13,Group Stage,H,,,Saudi Arabia,Uruguay,,,,scheduled,,,,2026-06-05T08:57:28.690138+00:00
14,Group Stage,H,,,Spain,Cape Verde,,,,scheduled,,,,2026-06-05T08:57:28.688804+00:00
15,Group Stage,G,,,Iran,New Zealand,,,,scheduled,,,,2026-06-05T08:57:28.681497+00:00
16,Group Stage,G,,,Belgium,Egypt,,,,scheduled,,,,2026-06-05T08:57:28.679330+00:00
17,Group Stage,I,,,France,Senegal,,,,scheduled,,,,2026-06-05T08:57:28.697153+00:00
18,Group Stage,I,,,Iraq,Norway,,,,scheduled,,,,2026-06-05T08:57:28.698468+00:00
19,Group Stage,J,,,Argentina,Algeria,,,,scheduled,,,,2026-06-05T08:57:28.705578+00:00
20,Group Stage,J,,,Austria,Jordan,,,,scheduled,,,,2026-06-05T08:57:28.706898+00:00
21,Group Stage,L,,,Ghana,Panama,,,,scheduled,,,,2026-06-05T08:57:28.723381+00:00
22,Group Stage,L,,,England,Croatia,,,,scheduled,,,,2026-06-05T08:57:28.722059+00:00
23,Group Stage,K,,,Portugal,DR Congo,,,,scheduled,,,,2026-06-05T08:57:28.713789+00:00
24,Group Stage,K,,,Uzbekistan,Colombia,,,,scheduled,,,,2026-06-05T08:57:28.715081+00:00
25,Group Stage,A,,,Czechia,South Africa,,,,scheduled,,,,2026-06-05T08:57:28.630141+00:00
26,Group Stage,B,,,Switzerland,Bosnia and Herzegovina,,,,scheduled,,,,2026-06-05T08:57:28.639023+00:00
27,Group Stage,B,,,Canada,Qatar,,,,scheduled,,,,2026-06-05T08:57:28.640336+00:00
28,Group Stage,A,,,Mexico,Korea Republic,,,,scheduled,,,,2026-06-05T08:57:28.631623+00:00
29,Group Stage,C,,,Brazil,Haiti,,,,scheduled,,,,2026-06-05T08:57:28.648863+00:00
30,Group Stage,C,,,Scotland,Morocco,,,,scheduled,,,,2026-06-05T08:57:28.647532+00:00
31,Group Stage,D,,,Türkiye,Paraguay,,,,scheduled,,,,2026-06-05T08:57:28.657469+00:00
32,Group Stage,D,,,United States,Australia,,,,scheduled,,,,2026-06-05T08:57:28.656138+00:00
33,Group Stage,E,,,Germany,Ivory Coast,,,,scheduled,,,,2026-06-05T08:57:28.664870+00:00
34,Group Stage,E,,,Ecuador,Curaçao,,,,scheduled,,,,2026-06-05T08:57:28.666226+00:00
35,Group Stage,F,,,Netherlands,Sweden,,,,scheduled,,,,2026-06-05T08:57:28.673509+00:00
36,Group Stage,F,,,Tunisia,Japan,,,,scheduled,,,,2026-06-05T08:57:28.674861+00:00
37,Group Stage,H,,,Uruguay,Cape Verde,,,,scheduled,,,,2026-06-05T08:57:28.692753+00:00
38,Group Stage,H,,,Spain,Saudi Arabia,,,,scheduled,,,,2026-06-05T08:57:28.691426+00:00
39,Group Stage,G,,,Belgium,Iran,,,,scheduled,,,,2026-06-05T08:57:28.682927+00:00
40,Group Stage,G,,,New Zealand,Egypt,,,,scheduled,,,,2026-06-05T08:57:28.684243+00:00
41,Group Stage,I,,,Norway,Senegal,,,,scheduled,,,,2026-06-05T08:57:28.701168+00:00
42,Group Stage,I,,,France,Iraq,,,,scheduled,,,,2026-06-05T08:57:28.699808+00:00
43,Group Stage,J,,,Argentina,Austria,,,,scheduled,,,,2026-06-05T08:57:28.708193+00:00
44,Group Stage,J,,,Jordan,Algeria,,,,scheduled,,,,2026-06-05T08:57:28.709468+00:00
45,Group Stage,L,,,England,Ghana,,,,scheduled,,,,2026-06-05T08:57:28.724684+00:00
46,Group Stage,L,,,Panama,Croatia,,,,scheduled,,,,2026-06-05T08:57:28.725943+00:00
47,Group Stage,K,,,Portugal,Uzbekistan,,,,scheduled,,,,2026-06-05T08:57:28.716353+00:00
48,Group Stage,K,,,Colombia,DR Congo,,,,scheduled,,,,2026-06-05T08:57:28.717663+00:00
49,Group Stage,C,,,Scotland,Brazil,,,,scheduled,,,,2026-06-05T08:57:28.650191+00:00
50,Group Stage,C,,,Morocco,Haiti,,,,scheduled,,,,2026-06-05T08:57:28.651517+00:00
51,Group Stage,B,,,Switzerland,Canada,,,,scheduled,,,,2026-06-05T08:57:28.641659+00:00
52,Group Stage,B,,,Bosnia and Herzegovina,Qatar,,,,scheduled,,,,2026-06-05T08:57:28.643071+00:00
53,Group Stage,A,,,Czechia,Mexico,,,,scheduled,,,,2026-06-05T08:57:28.633031+00:00
54,Group Stage,A,,,South Africa,Korea Republic,,,,scheduled,,,,2026-06-05T08:57:28.634405+00:00
55,Group Stage,E,,,Curaçao,Ivory Coast,,,,scheduled,,,,2026-06-05T08:57:28.667579+00:00
56,Group Stage,E,,,Ecuador,Germany,,,,scheduled,,,,2026-06-05T08:57:28.668964+00:00
57,Group Stage,F,,,Japan,Sweden,,,,scheduled,,,,2026-06-05T08:57:28.676174+00:00
58,Group Stage,F,,,Tunisia,Netherlands,,,,scheduled,,,,2026-06-05T08:57:28.677482+00:00
59,Group Stage,D,,,Türkiye,United States,,,,scheduled,,,,2026-06-05T08:57:28.658899+00:00
60,Group Stage,D,,,Paraguay,Australia,,,,scheduled,,,,2026-06-05T08:57:28.660227+00:00
61,Group Stage,I,,,Norway,France,,,,scheduled,,,,2026-06-05T08:57:28.702484+00:00
62,Group Stage,I,,,Senegal,Iraq,,,,scheduled,,,,2026-06-05T08:57:28.703813+00:00
63,Group Stage,G,,,Egypt,Iran,,,,scheduled,,,,2026-06-05T08:57:28.685552+00:00
64,Group Stage,G,,,New Zealand,Belgium,,,,scheduled,,,,2026-06-05T08:57:28.686895+00:00
65,Group Stage,H,,,Cape Verde,Saudi Arabia,,,,scheduled,,,,2026-06-05T08:57:28.694061+00:00
66,Group Stage,H,,,Uruguay,Spain,,,,scheduled,,,,2026-06-05T08:57:28.695366+00:00
67,Group Stage,L,,,Panama,England,,,,scheduled,,,,2026-06-05T08:57:28.727198+00:00
68,Group Stage,L,,,Croatia,Ghana,,,,scheduled,,,,2026-06-05T08:57:28.728458+00:00
69,Group Stage,J,,,Algeria,Austria,,,,scheduled,,,,2026-06-05T08:57:28.710773+00:00
70,Group Stage,J,,,Jordan,Argentina,,,,scheduled,,,,2026-06-05T08:57:28.712036+00:00
71,Group Stage,K,,,Colombia,Portugal,,,,scheduled,,,,2026-06-05T08:57:28.718999+00:00
72,Group Stage,K,,,DR Congo,Uzbekistan,,,,scheduled,,,,2026-06-05T08:57:28.720279+00:00
