match_id,stage,group,date,time_local,team_a,team_b,venue,city,country,status,score_a,score_b,winner,source_updated_at_utc
1,Group Stage,A,,,Mexico,South Africa,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
2,Group Stage,A,,,Korea Republic,Czechia,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
3,Group Stage,B,,,Canada,Bosnia and Herzegovina,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
4,Group Stage,D,,,United States,Paraguay,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
5,Group Stage,C,,,Haiti,Scotland,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
6,Group Stage,D,,,Australia,Türkiye,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
7,Group Stage,C,,,Brazil,Morocco,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
8,Group Stage,B,,,Qatar,Switzerland,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
9,Group Stage,E,,,Ivory Coast,Ecuador,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
10,Group Stage,E,,,Germany,Curaçao,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
11,Group Stage,F,,,Netherlands,Japan,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
12,Group Stage,F,,,Sweden,Tunisia,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
13,Group Stage,H,,,Saudi Arabia,Uruguay,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
14,Group Stage,H,,,Spain,Cape Verde,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
15,Group Stage,G,,,Iran,New Zealand,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
16,Group Stage,G,,,Belgium,Egypt,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
17,Group Stage,I,,,France,Senegal,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
18,Group Stage,I,,,Iraq,Norway,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
19,Group Stage,J,,,Argentina,Algeria,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
20,Group Stage,J,,,Austria,Jordan,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
21,Group Stage,L,,,Ghana,Panama,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
22,Group Stage,L,,,England,Croatia,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
23,Group Stage,K,,,Portugal,DR Congo,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
24,Group Stage,K,,,Uzbekistan,Colombia,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
25,Group Stage,A,,,Czechia,South Africa,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
26,Group Stage,B,,,Switzerland,Bosnia and Herzegovina,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
27,Group Stage,B,,,Canada,Qatar,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
28,Group Stage,A,,,Mexico,Korea Republic,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
29,Group Stage,C,,,Brazil,Haiti,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
30,Group Stage,C,,,Scotland,Morocco,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
31,Group Stage,D,,,Türkiye,Paraguay,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
32,Group Stage,D,,,United States,Australia,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
33,Group Stage,E,,,Germany,Ivory Coast,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
34,Group Stage,E,,,Ecuador,Curaçao,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
35,Group Stage,F,,,Netherlands,Sweden,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
36,Group Stage,F,,,Tunisia,Japan,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
37,Group Stage,H,,,Uruguay,Cape Verde,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
38,Group Stage,H,,,Spain,Saudi Arabia,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
39,Group Stage,G,,,Belgium,Iran,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
40,Group Stage,G,,,New Zealand,Egypt,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
41,Group Stage,I,,,Norway,Senegal,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
42,Group Stage,I,,,France,Iraq,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
43,Group Stage,J,,,Argentina,Austria,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
44,Group Stage,J,,,Jordan,Algeria,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
45,Group Stage,L,,,England,Ghana,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
46,Group Stage,L,,,Panama,Croatia,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
47,Group Stage,K,,,Portugal,Uzbekistan,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
48,Group Stage,K,,,Colombia,DR Congo,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
49,Group Stage,C,,,Scotland,Brazil,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
50,Group Stage,C,,,Morocco,Haiti,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
51,Group Stage,B,,,Switzerland,Canada,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
52,Group Stage,B,,,Bosnia and Herzegovina,Qatar,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
53,Group Stage,A,,,Czechia,Mexico,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
54,Group Stage,A,,,South Africa,Korea Republic,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
55,Group Stage,E,,,Curaçao,Ivory Coast,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
56,Group Stage,E,,,Ecuador,Germany,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
57,Group Stage,F,,,Japan,Sweden,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
58,Group Stage,F,,,Tunisia,Netherlands,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
59,Group Stage,D,,,Türkiye,United States,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
60,Group Stage,D,,,Paraguay,Australia,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
61,Group Stage,I,,,Norway,France,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
62,Group Stage,I,,,Senegal,Iraq,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
63,Group Stage,G,,,Egypt,Iran,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
64,Group Stage,G,,,New Zealand,Belgium,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
65,Group Stage,H,,,Cape Verde,Saudi Arabia,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
66,Group Stage,H,,,Uruguay,Spain,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
67,Group Stage,L,,,Panama,England,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
68,Group Stage,L,,,Croatia,Ghana,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
69,Group Stage,J,,,Algeria,Austria,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
70,Group Stage,J,,,Jordan,Argentina,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
71,Group Stage,K,,,Colombia,Portugal,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
72,Group Stage,K,,,DR Congo,Uzbekistan,,,,scheduled,,,,2026-06-06T08:09:53.291492+00:00
