No.,Title,Performer(s),Length
1.0,"""The Official FIFA World Cup 2026 Theme""",Zachary Aaron Golden (writer),2:02
2.0,"""Goals""","Lisa, Anitta, and Rema",3:00
3.0,"""Game Time""","Future, Tyla",3:27
4.0,"""Illuminate""",Jessie Reyez and Elyanna,3:04
5.0,"""Echo""",Daddy Yankee and Shenseea,2:16
6.0,"""Por Ella""",Belinda and Los Ángeles Azules,3:02
7.0,"""Three Nations""","21 Savage, Natanael Cano, and French Montana",3:30
8.0,"""No Place Like Home""","Major Lazer, Nelly Furtado, and Davido",2:35
9.0,"""In The Stars""",The Rolling Stones,4:59
10.0,"""Show Me""",Ayra Starr and Latto,3:28
11.0,"""Mi Mexico Lindo""",Alejandro Fernández,2:34
12.0,"""Blessings""","Stormzy, Fridayy, and Angel",3:36
13.0,"""Energy""",Ava Max and BIA,3:01
14.0,"""Lighter""",Jelly Roll and Carín León,3:00
15.0,"""Siir Siir""","Nora Fatehi, Vegedream, and Sanjoy",3:06
16.0,"""Partidazo""",Danny Ocean,2:23
17.0,"""Champions""",IShowSpeed,4:16
18.0,"""Love Always Wins""","Shaggy, Cimafunk, and Zema",3:08
19.0,"""Dai Dai""","Shakira, Burna Boy",3:43
