Links to related articles,Links to related articles.1
vte2026 FIFA World Cup stadiumsCanada Toronto Stadium BC Place Vancouver Mexico Estadio Guadalajara Mexico City Stadium Estadio Monterrey United States Atlanta Stadium Boston Stadium Dallas Stadium Houston Stadium Kansas City Stadium Los Angeles Stadium Miami Stadium New York New Jersey Stadium Philadelphia Stadium San Francisco Bay Area Stadium Seattle Stadium vteReferees at the 2026 FIFA World CupAFC Omar Al Ali [de] Abdulrahman Al-Jassim Khalid Al-Turais [de] Alireza Faghani Ma Ning Adham Makhadmeh Ilgiz Tantashev Yusuke Araki CAF Omar Abdulkadir Artan Pierre Atcho Dahane Beida Mustapha Ghorbal Jalal Jayed Amin Omar Abongile Tom CONCACAF Iván Barton Juan Gabriel Calderón Ismail Elfath Oshane Nation Drew Fischer Katia Itzel García Saíd Martínez Tori Penso César Arturo Ramos CONMEBOL Ramon Abatti Juan Gabriel Benítez Raphael Claus Yael Falcón Cristián Garay Darío Herrera Kevin Ortega Andrés Rojas Wilton Sampaio Gustavo Tejera [nl] Facundo Tello Jesús Valenzuela OFC Campbell-Kirk Kawana-Waugh UEFA Espen Eskås Alejandro Hernández Hernández István Kovács François Letexier Danny Makkelie Szymon Marciniak Maurizio Mariani Glenn Nyberg Michael Oliver João Pinheiro Sandro Schärer Anthony Taylor Clément Turpin Slavko Vinčić Felix Zwayer vteWorld championships in 2026Summer sports and indoor sports Association football (men) Athletics cross country indoor road running race walking ultimate Badminton individual team Baseball (men) Basketball 3x3 women Beach handball men women Bowling (9-pin) Bowls indoor WBT indoor WB/IIBC Canoeing slalom Cricket T20 men T20 women Cycling BMX cyclo-cross mountain bike road track urban Equestrian Fencing Field hockey men women Gymnastics acrobatic artistic rhythmic trampoline Judo Rowing Squash men women Table tennis Weightlifting Wrestling Winter sports Bandy men women Curling men women Figure skating Ice hockey men women Short track speed skating Ski flying Speed skating allround sprint Para sports Para Badminton Para Shooting Para Table Tennis Sitting volleyball men women Cue and mind sports Chess open women freestyle Draughts open women Darts PDC WDF Pool nine-ball ten-ball Snooker open women Motor sports Endurance auto racing Enduro Formula E Formula One Motocross men women team MotoGP Moto2 Moto3 Superbike Supersport Sportbike Women Speedway Grand Prix World Cup Rally Rally raid FIA Bajas FIM Bajas,vte2026 FIFA World Cup stadiumsCanada Toronto Stadium BC Place Vancouver Mexico Estadio Guadalajara Mexico City Stadium Estadio Monterrey United States Atlanta Stadium Boston Stadium Dallas Stadium Houston Stadium Kansas City Stadium Los Angeles Stadium Miami Stadium New York New Jersey Stadium Philadelphia Stadium San Francisco Bay Area Stadium Seattle Stadium vteReferees at the 2026 FIFA World CupAFC Omar Al Ali [de] Abdulrahman Al-Jassim Khalid Al-Turais [de] Alireza Faghani Ma Ning Adham Makhadmeh Ilgiz Tantashev Yusuke Araki CAF Omar Abdulkadir Artan Pierre Atcho Dahane Beida Mustapha Ghorbal Jalal Jayed Amin Omar Abongile Tom CONCACAF Iván Barton Juan Gabriel Calderón Ismail Elfath Oshane Nation Drew Fischer Katia Itzel García Saíd Martínez Tori Penso César Arturo Ramos CONMEBOL Ramon Abatti Juan Gabriel Benítez Raphael Claus Yael Falcón Cristián Garay Darío Herrera Kevin Ortega Andrés Rojas Wilton Sampaio Gustavo Tejera [nl] Facundo Tello Jesús Valenzuela OFC Campbell-Kirk Kawana-Waugh UEFA Espen Eskås Alejandro Hernández Hernández István Kovács François Letexier Danny Makkelie Szymon Marciniak Maurizio Mariani Glenn Nyberg Michael Oliver João Pinheiro Sandro Schärer Anthony Taylor Clément Turpin Slavko Vinčić Felix Zwayer vteWorld championships in 2026Summer sports and indoor sports Association football (men) Athletics cross country indoor road running race walking ultimate Badminton individual team Baseball (men) Basketball 3x3 women Beach handball men women Bowling (9-pin) Bowls indoor WBT indoor WB/IIBC Canoeing slalom Cricket T20 men T20 women Cycling BMX cyclo-cross mountain bike road track urban Equestrian Fencing Field hockey men women Gymnastics acrobatic artistic rhythmic trampoline Judo Rowing Squash men women Table tennis Weightlifting Wrestling Winter sports Bandy men women Curling men women Figure skating Ice hockey men women Short track speed skating Ski flying Speed skating allround sprint Para sports Para Badminton Para Shooting Para Table Tennis Sitting volleyball men women Cue and mind sports Chess open women freestyle Draughts open women Darts PDC WDF Pool nine-ball ten-ball Snooker open women Motor sports Endurance auto racing Enduro Formula E Formula One Motocross men women team MotoGP Moto2 Moto3 Superbike Supersport Sportbike Women Speedway Grand Prix World Cup Rally Rally raid FIA Bajas FIM Bajas
vte2026 FIFA World Cup stadiums,vte2026 FIFA World Cup stadiums
Canada,Toronto Stadium BC Place Vancouver
Mexico,Estadio Guadalajara Mexico City Stadium Estadio Monterrey
United States,Atlanta Stadium Boston Stadium Dallas Stadium Houston Stadium Kansas City Stadium Los Angeles Stadium Miami Stadium New York New Jersey Stadium Philadelphia Stadium San Francisco Bay Area Stadium Seattle Stadium
vteReferees at the 2026 FIFA World Cup,vteReferees at the 2026 FIFA World Cup
AFC,Omar Al Ali [de] Abdulrahman Al-Jassim Khalid Al-Turais [de] Alireza Faghani Ma Ning Adham Makhadmeh Ilgiz Tantashev Yusuke Araki
CAF,Omar Abdulkadir Artan Pierre Atcho Dahane Beida Mustapha Ghorbal Jalal Jayed Amin Omar Abongile Tom
CONCACAF,Iván Barton Juan Gabriel Calderón Ismail Elfath Oshane Nation Drew Fischer Katia Itzel García Saíd Martínez Tori Penso César Arturo Ramos
CONMEBOL,Ramon Abatti Juan Gabriel Benítez Raphael Claus Yael Falcón Cristián Garay Darío Herrera Kevin Ortega Andrés Rojas Wilton Sampaio Gustavo Tejera [nl] Facundo Tello Jesús Valenzuela
