City,Stadium,Capacity,Image
Mexico City,Estadio Azteca† (Mexico City Stadium),80824,
"New York/New Jersey (East Rutherford, New Jersey)",MetLife Stadium (New York New Jersey Stadium),80663,
"Dallas (Arlington, Texas)",AT&T Stadium‡ (Dallas Stadium),70649,
"Los Angeles (Inglewood, California)",SoFi Stadium‡ (Los Angeles Stadium),70492,
Kansas City,Arrowhead Stadium (Kansas City Stadium),69045,
"San Francisco Bay Area (Santa Clara, California)",Levi's Stadium (San Francisco Bay Area Stadium),68827,
Houston,NRG Stadium‡ (Houston Stadium),68777,
Atlanta,Mercedes-Benz Stadium‡ (Atlanta Stadium),68239,
Philadelphia,Lincoln Financial Field (Philadelphia Stadium),68324,
Seattle,Lumen Field (Seattle Stadium),66925,
"Miami (Miami Gardens, Florida)",Hard Rock Stadium (Miami Stadium),64478,
"Boston (Foxborough, Massachusetts)",Gillette Stadium (Boston Stadium),64146,
Vancouver,BC Place‡ (BC Place Vancouver),52497,
Monterrey (Guadalupe),Estadio BBVA (Estadio Monterrey),51243,
Guadalajara (Zapopan),Estadio Akron (Estadio Guadalajara),45664,
Toronto,BMO Field (Toronto Stadium),43036,
