Team,Hotel,Training site
Algeria[97],"The Oread Lawrence, Lawrence, Kansas","University of Kansas,[98] Lawrence, Kansas"
Argentina[99],"Origin Kansas City Riverfront, Kansas City, Missouri","Sporting KC Training Center, Kansas City, Kansas"
Australia[100],"Claremont Hotel & Spa, Berkeley, California","Oakland Roots/Soul Training Facility, Alameda, California"
Austria[101],"Bacara Resort, Goleta, California","UC Santa Barbara Harder Stadium, Santa Barbara, California"
Belgium[102],"Hyatt Regency Lake Washington at Seattle's Southport, Renton, Washington","Seattle Sounders FC Performance Center and Clubhouse, Renton, Washington"
Bosnia and Herzegovina[103],"Asher Adams, Autograph Collection, Salt Lake City, Utah","Real Salt Lake Stadium, Sandy, Utah"
Brazil[104],"The Ridge, Basking Ridge, New Jersey","Columbia Park, Morristown, New Jersey"
Canada[105],"The Westin Bayshore, Vancouver, British Columbia","National Soccer Development Centre, Vancouver, British Columbia"
Cape Verde[106],"Grand Hyatt Tampa Bay, Tampa, Florida","Waters Sportsplex, Tampa, Florida"
Colombia[107],"Grand Fiesta Americana Country Club, Guadalajara, Jalisco","Academia Atlas FC, Zapopan, Jalisco"
Croatia[108],"Hotel AKA Alexandria, Alexandria, Virginia","Episcopal High School, Alexandria, Virginia"
Curaçao[109],"Boca Raton Marriott at Boca Center, Boca Raton, Florida","Florida Atlantic University, Boca Raton, Florida"
Czech Republic[110],"Hilton Garden Inn Dallas-Arlington South, Arlington, Texas","Mansfield Multipurpose Stadium, Mansfield, Texas"
DR Congo[111],"Omni Houston Hotel, Houston, Texas","Houston Sports Park, Houston, Texas"
Ecuador[112],"Le Méridien Columbus, The Joseph, Columbus, Ohio","Columbus Crew Performance Center, Columbus, Ohio"
Egypt[113],"Northern Quest Resort & Casino, Airway Heights, Washington","Gonzaga University, Spokane, Washington"
England[97],"The Inn at Meadowbrook, Prairie Village, Kansas","Swope Soccer Village, Kansas City, Missouri"
France[114],"Four Seasons Hotel Boston, Boston, Massachusetts","Bentley University, Waltham, Massachusetts"
Germany[115],"Graylyn, Winston-Salem, North Carolina","Wake Forest University, Winston-Salem, North Carolina"
Ghana[116],"Providence Biltmore, Providence, Rhode Island","Bryant University, Smithfield, Rhode Island"
Haiti[117],"Sheraton Atlantic City Convention Center Hotel, Atlantic City, New Jersey","Stockton University, Galloway Township, New Jersey"
Iran[118],"Tijuana Marriott Hotel, Tijuana, Baja California","Club Tijuana Training Center, Tijuana, Baja California"
Iraq[106],"Greenbrier Resort, White Sulphur Springs, West Virginia","The Greenbrier Sports Performance Centre, White Sulphur Springs, West Virginia"
Ivory Coast[119],"Hotel Du Pont, Wilmington, Delaware","Philadelphia Union Stadium, Chester, Pennsylvania"
Japan[120],"TBA, Nashville, Tennessee","Nashville SC Training Center, Nashville, Tennessee"
Jordan[121],"The Nines Hotel, Portland, Oregon","University of Portland, Portland, Oregon"
Mexico[122],"Centro de Alto Rendimiento on-site accommodation, Mexico City","Centro de Alto Rendimiento, Mexico City"
Morocco[123],"Somerset Hills Hotel, Tapestry Collection by Hilton, Warren, New Jersey","Pingry School, Basking Ridge, New Jersey"
Netherlands[124],"Cascade Hotel, Kansas City, a Tribute Portfolio Hotel, Kansas City, Missouri","Kansas City Current Training Facility, Riverside, Missouri"
New Zealand[125],"Hyatt Regency La Jolla at Aventine, San Diego, California","Torero Stadium, San Diego, California"
Norway[126],"Grandover Resort & Spa, A Wyndham Grand Hotel, Greensboro, North Carolina","University of North Carolina at Greensboro, Greensboro, North Carolina"
Panama[127],"Nottawasaga Inn Resort & Conference Centre, New Tecumseth, Ontario","Nottawasaga Training Site, New Tecumseth, Ontario"
Paraguay[128],"Signia by Hilton San Jose, San Jose, California","Spartan Soccer Complex, San Jose, California"
Portugal[129],"Four Seasons Hotel Palm Beach, Palm Beach, Florida","Gardens North County District Park, Palm Beach Gardens, Florida"
Qatar[130],"Courtyard by Marriott Santa Barbara Goleta, Goleta, California","Westmont College, Santa Barbara, California"
Saudi Arabia[131],"Four Seasons Hotel Austin, Austin, Texas","Austin FC Stadium, Austin, Texas"
Scotland[132],"Renaissance Charlotte SouthPark Hotel, Charlotte, North Carolina","Charlotte FC Training Center, Charlotte, North Carolina"
Senegal[133],"The Heldrich Hotel and Conference Center, New Brunswick, New Jersey","Rutgers University, Piscataway, New Jersey"
South Africa[122],"Camino Real Pachuca, Pachuca, Hidalgo","Universidad Del Futbol [es], San Agustín Tlaxiaca, Hidalgo"
South Korea[134],"The Westin Guadalajara, Guadalajara, Jalisco","Chivas Verde Valle, Zapopan, Jalisco"
Spain[135],"The Read House Hotel, Chattanooga, Tennessee","Baylor School, Chattanooga, Tennessee"
Sweden[110],"The Westin Dallas Stonebriar Golf Resort & Spa, Frisco, Texas","FC Dallas Stadium, Frisco, Texas"
Switzerland[136],"Fairmont Grand Del Mar, San Diego, California","San Diego Jewish Academy, San Diego, California"
Tunisia[122],"InterContinental Presidente Monterrey, San Pedro Garza García, Nuevo León","Rayados Training Center, Santiago, Nuevo León"
Turkey[137],"Courtyard Mesa at Wrigleyville West, Mesa, Arizona","Arizona Athletic Grounds, Mesa, Arizona"
United States[138],"Marriott Irvine Spectrum, Irvine, California","Orange County Great Park, Irvine, California"
Uruguay[139],"Fairmont Mayakoba, Playa del Carmen, Quintana Roo","Mayakoba Training Centre, Playa del Carmen, Quintana Roo"
Uzbekistan[140],"JW Marriott Atlanta Buckhead, Atlanta, Georgia","Atlanta United Training Center, Marietta, Georgia"
