No.,Title,Performer(s),Length
1.0,"""The Official FIFA World Cup 2026 Theme""",Zachary Aaron Golden (writer),2:02
2.0,"""Goals""","Lisa, Anitta, and Rema",3:00
3.0,"""Game Time""","Future, Tyla",3:27
4.0,"""Illuminate""",Jessie Reyez and Elyanna,3:04
5.0,"""Echo""",Daddy Yankee and Shenseea,2:16
6.0,"""Por Ella""",Belinda and Los Ángeles Azules,3:02
7.0,"""Three Nations""","21 Savage, Natanael Cano, and French Montana",
8.0,"""No Place Like Home""","Major Lazer, Nelly Furtado, and Davido",
9.0,"""In The Stars""",The Rolling Stones,4:13
10.0,"""Show Me""",Ayra Starr and Latto,
11.0,"""Mi Mexico Lindo""",Alejandro Fernández,
12.0,"""Blessings""","Stormzy, Fridayy, and Angel",
13.0,"""Energy""",Ava Max and BIA,
14.0,"""Lighter""",Jelly Roll and Carín León,3:00
15.0,"""Siir Siir""","Nora Fatehi, Vegedream, and Sanjoy",
16.0,"""Partidazo""",Danny Ocean,
17.0,"""Champions""",IShowSpeed,4:15
18.0,"""Love Always Wins""","Shaggy, Cimafunk, and Zema",
19.0,"""Dai Dai""","Shakira, Burna Boy",3:45
