Pos,Grp,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification
1,A,Third place Group A,0,0,0,0,0,0,0,0,Advance to knockout stage
2,B,Third place Group B,0,0,0,0,0,0,0,0,Advance to knockout stage
3,C,Third place Group C,0,0,0,0,0,0,0,0,Advance to knockout stage
4,D,Third place Group D,0,0,0,0,0,0,0,0,Advance to knockout stage
5,E,Third place Group E,0,0,0,0,0,0,0,0,Advance to knockout stage
6,F,Third place Group F,0,0,0,0,0,0,0,0,Advance to knockout stage
7,G,Third place Group G,0,0,0,0,0,0,0,0,Advance to knockout stage
8,H,Third place Group H,0,0,0,0,0,0,0,0,Advance to knockout stage
9,I,Third place Group I,0,0,0,0,0,0,0,0,
10,J,Third place Group J,0,0,0,0,0,0,0,0,
11,K,Third place Group K,0,0,0,0,0,0,0,0,
12,L,Third place Group L,0,0,0,0,0,0,0,0,
